Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,AHh,B365AHH,B365AHA,B365CH,B365CD,B365CA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,AHCh,B365CAHH,B365CAHA,FTR_numeric,HT_AvgGoals,AT_AvgGoals,HT_AvgShotsTarget,AT_AvgShotsTarget,HT_Form_W,HT_Form_D,HT_Form_L,AT_Form_W,AT_Form_D,AT_Form_L,H2H_Available,H2H_Matches,H2H_Home_Wins,H2H_Draws,H2H_Away_Wins,H2H_Home_Goals_Avg,H2H_Away_Goals_Avg,H2H_Home_Win_Rate,H2H_BTTS_Rate,H2H_Goal_Diff,H2H_Win_Advantage,H2H_Total_Goals_Avg,H2H_Home_Consistent,Home_xG,Away_xG,HT_xG_Avg,AT_xG_Avg,HT_xGA_Avg,AT_xGA_Avg,xG_Diff,xG_Total,HT_xG_Global,AT_xG_Global,HT_xGA_Global,AT_xGA_Global,xG_Global_Diff,HT_Days_Rest,AT_Days_Rest,Rest_Diff,HT_Had_Europa,AT_Had_Europa,HT_Games_15d,AT_Games_15d
E0,2016-08-13,Burnley,Swansea,0,1,A,0,0,D,J Moss,10,17,3,9,10,14,7,4,3,2,0,0,2.4,3.3,3.25,2.45,3.1,2.95,2.47,3.32,3.19,2.5,3.2,2.9,2.5,3.2,3.25,2.79,3.16,2.89,,,,2.79,3.16,2.89,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.04903,1.72089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2064502,0.0,1.0298682,0.0,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0,2.0,3.3,4.5,2.0,3.2,3.9,2.06,3.29,4.32,2.05,3.1,4.0,2.0,3.3,4.4,2.25,3.15,3.86,,,,2.25,3.15,3.86,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,0.990062,0.684593,0.0,0.0,0.0,0.0,0.0,0.0,1.18197,2.1395762,1.6591,0.5170253,-0.9576062000000001,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Everton,Tottenham,1,1,D,1,0,H,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0,3.2,3.4,2.4,2.95,3.2,2.4,3.25,3.43,2.37,3.1,3.1,2.4,3.25,3.4,2.38,3.64,3.54,2.16,,,,3.64,3.54,2.16,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,0.790063,1.12348,0.0,0.0,0.0,0.0,0.0,0.0,0.8517395,2.49041,1.1063965,0.4676875,-1.6386705,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Hull,Leicester,2,1,H,1,0,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0,4.5,3.6,1.91,4.33,3.4,1.9,4.43,3.55,1.95,4.2,3.25,1.95,4.4,3.5,1.95,4.68,3.5,1.92,,,,4.68,3.5,1.92,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,0.740018,2.45631,0.0,0.0,0.0,0.0,0.0,0.0,1.245396333333333,2.2844339999999996,1.0968476666666667,0.8392831000000001,-1.0390376666666665,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Man City,Sunderland,2,1,H,1,0,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0,1.25,6.5,15.0,1.22,6.0,11.5,1.27,6.48,13.15,1.25,5.5,13.0,1.25,6.5,15.0,1.25,6.5,14.5,,,,1.25,6.5,14.5,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.95479,1.09877,0.0,0.0,0.0,0.0,0.0,0.0,1.40709475,2.1905900000000003,1.11644075,0.8700703000000001,-0.7834952500000003,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend,12,12,2,1,18,14,9,6,3,5,0,0,2.38,3.2,3.4,2.25,3.1,3.25,2.33,3.24,3.53,2.4,3.1,3.1,2.38,3.2,3.4,2.2,3.38,3.7,,,,2.2,3.38,3.7,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.80523,0.485626,0.0,0.0,0.0,0.0,0.0,0.0,1.8525818,1.78091,1.0870912000000001,0.7481603000000001,0.07167180000000006,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-13,Southampton,Watford,1,1,D,0,1,A,R East,24,5,6,1,8,12,6,2,1,2,0,1,1.8,3.75,5.0,1.8,3.4,4.5,1.88,3.68,4.64,1.83,3.4,4.5,1.83,3.6,5.0,1.8,3.83,4.91,,,,1.8,3.83,4.91,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,0.937328,0.180046,0.0,0.0,0.0,0.0,0.0,0.0,1.9486358,1.8041325000000001,0.8779818,0.911649,0.14450329999999978,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-14,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,2.35,3.3,2.9,2.41,3.53,3.1,2.5,3.1,3.0,2.4,3.5,3.1,2.8,3.44,2.68,,,,2.8,3.44,2.68,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.18197,1.6591,0.0,0.0,0.0,0.0,0.0,0.0,2.2152000000000003,1.7146525000000001,0.8889998,0.9361567500000001,0.5005475000000001,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-14,Bournemouth,Man United,1,3,A,0,1,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0,4.75,3.6,1.85,4.6,3.5,1.75,4.7,3.62,1.88,4.5,3.4,1.85,4.75,3.6,1.87,5.4,3.65,1.78,,,,5.4,3.65,1.78,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,0.522847,1.91105,0.0,0.0,0.0,0.0,0.0,0.0,2.509696,1.46252875,1.0234078,0.388278,1.04716725,7.0,7.0,0.0,0.0,0.0,2.0,2.0
E0,2016-08-15,Chelsea,West Ham,2,1,H,0,0,D,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0,1.65,4.0,6.0,1.6,3.75,5.5,1.68,4.16,5.48,1.67,3.6,5.5,1.65,4.1,5.75,1.52,4.38,7.45,,,,1.52,4.38,7.45,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.0,1.4603,0.445604,0.0,0.0,0.0,0.0,0.0,0.0,2.2736202,1.59769375,1.0995257999999999,0.7034255,0.67592645,7.0,11.0,-4.0,0.0,0.0,2.0,1.0
