Season,Date,Team,Comp,Venue,Opponent
2017-18,2017-09-12,Chelsea,Champions Lg,Home,Qarabağ FK
2017-18,2017-09-27,Chelsea,Champions Lg,Away,Atlético Madrid
2017-18,2017-10-18,Chelsea,Champions Lg,Home,AS Roma
2017-18,2017-10-31,Chelsea,Champions Lg,Away,AS Roma
2017-18,2017-11-22,Chelsea,Champions Lg,Away,Qarabağ FK
2017-18,2017-12-05,Chelsea,Champions Lg,Home,Atlético Madrid
2017-18,2018-02-20,Chelsea,Champions Lg,Home,FC Barcelona
2017-18,2018-03-14,Chelsea,Champions Lg,Away,FC Barcelona
2017-18,2017-09-13,Liverpool,Champions Lg,Home,Sevilla FC
2017-18,2017-09-26,Liverpool,Champions Lg,Away,Spartak Moskva
2017-18,2017-10-17,Liverpool,Champions Lg,Away,NK Maribor
2017-18,2017-11-01,Liverpool,Champions Lg,Home,NK Maribor
2017-18,2017-11-21,Liverpool,Champions Lg,Away,Sevilla FC
2017-18,2017-12-06,Liverpool,Champions Lg,Home,Spartak Moskva
2017-18,2018-02-14,Liverpool,Champions Lg,Away,FC Porto
2017-18,2018-03-06,Liverpool,Champions Lg,Home,FC Porto
2017-18,2018-04-04,Liverpool,Champions Lg,Home,Man City
2017-18,2018-04-10,Liverpool,Champions Lg,Away,Man City
2017-18,2018-04-24,Liverpool,Champions Lg,Home,AS Roma
2017-18,2018-05-02,Liverpool,Champions Lg,Away,AS Roma
2017-18,2018-05-26,Liverpool,Champions Lg,Away,Real Madrid
2017-18,2017-09-13,Man City,Champions Lg,Away,Feyenoord
2017-18,2017-09-26,Man City,Champions Lg,Home,Shakhtar Donetsk
2017-18,2017-10-17,Man City,Champions Lg,Home,SSC Napoli
2017-18,2017-11-01,Man City,Champions Lg,Away,SSC Napoli
2017-18,2017-11-21,Man City,Champions Lg,Home,Feyenoord
2017-18,2017-12-06,Man City,Champions Lg,Away,Shakhtar Donetsk
2017-18,2018-02-13,Man City,Champions Lg,Away,FC Basel 1893
2017-18,2018-03-07,Man City,Champions Lg,Home,FC Basel 1893
2017-18,2018-04-04,Man City,Champions Lg,Away,Liverpool
2017-18,2018-04-10,Man City,Champions Lg,Home,Liverpool
2017-18,2017-09-12,Man United,Champions Lg,Home,FC Basel 1893
2017-18,2017-09-27,Man United,Champions Lg,Away,CSKA Moskva
2017-18,2017-10-18,Man United,Champions Lg,Away,SL Benfica
2017-18,2017-10-31,Man United,Champions Lg,Home,SL Benfica
2017-18,2017-11-22,Man United,Champions Lg,Away,FC Basel 1893
2017-18,2017-12-05,Man United,Champions Lg,Home,CSKA Moskva
2017-18,2018-02-21,Man United,Champions Lg,Away,Sevilla FC
2017-18,2018-03-13,Man United,Champions Lg,Home,Sevilla FC
2017-18,2017-09-13,Tottenham,Champions Lg,Home,Borussia Dortmund
2017-18,2017-09-26,Tottenham,Champions Lg,Away,APOEL Nikosia
2017-18,2017-10-17,Tottenham,Champions Lg,Away,Real Madrid
2017-18,2017-11-01,Tottenham,Champions Lg,Home,Real Madrid
2017-18,2017-11-21,Tottenham,Champions Lg,Away,Borussia Dortmund
2017-18,2017-12-06,Tottenham,Champions Lg,Home,APOEL Nikosia
2017-18,2018-02-13,Tottenham,Champions Lg,Away,Juventus
2017-18,2018-03-07,Tottenham,Champions Lg,Home,Juventus
