Season,Date,Team,Comp,Venue,Opponent
2016-17,2016-09-20,Arsenal,EFL Cup,Away,Nottingham Forest
2016-17,2016-10-25,Arsenal,EFL Cup,Home,Reading
2016-17,2016-11-30,Arsenal,EFL Cup,Home,Southampton
2016-17,2016-08-24,Bournemouth,EFL Cup,Away,Morecambe
2016-17,2016-09-20,Bournemouth,EFL Cup,Home,Preston
2016-17,2016-08-24,Burnley,EFL Cup,Away,Accrington
2016-17,2016-08-23,Chelsea,EFL Cup,Home,Bristol Rovers
2016-17,2016-08-23,Crystal Palace,EFL Cup,Home,Blackpool
2016-17,2016-08-23,Everton,EFL Cup,Home,Yeovil Town
2016-17,2016-09-20,Everton,EFL Cup,Home,Norwich
2016-17,2016-08-23,Hull,EFL Cup,Away,Exeter City
2016-17,2016-10-25,Hull,EFL Cup,Away,Bristol City
2016-17,2016-11-29,Hull,EFL Cup,Home,Newcastle
2016-17,2017-01-26,Hull,EFL Cup,Home,Man United
2016-17,2016-09-20,Leicester,EFL Cup,Home,Chelsea
2016-17,2016-08-23,Liverpool,EFL Cup,Away,Burton Albion
2016-17,2016-09-20,Liverpool,EFL Cup,Away,Derby County
2016-17,2016-10-25,Liverpool,EFL Cup,Home,Tottenham
2016-17,2016-11-29,Liverpool,EFL Cup,Home,Leeds
2016-17,2017-01-25,Liverpool,EFL Cup,Home,Southampton
2016-17,2016-09-21,Man United,EFL Cup,Away,Northampton
2016-17,2016-10-26,Man United,EFL Cup,Home,Man City
2016-17,2016-11-30,Man United,EFL Cup,Home,West Ham
2016-17,2017-01-10,Man United,EFL Cup,Home,Hull
2016-17,2017-02-26,Man United,EFL Cup,Away,Southampton
2016-17,2016-08-24,Middlesbrough,EFL Cup,Away,Fulham
2016-17,2016-09-21,Southampton,EFL Cup,Home,Crystal Palace
2016-17,2016-10-26,Southampton,EFL Cup,Home,Sunderland
2016-17,2017-01-11,Southampton,EFL Cup,Home,Liverpool
2016-17,2016-08-23,Stoke,EFL Cup,Away,Stevenage
2016-17,2016-09-21,Stoke,EFL Cup,Home,Hull
2016-17,2016-08-24,Sunderland,EFL Cup,Home,Shrewsbury
2016-17,2016-09-21,Sunderland,EFL Cup,Away,QPR
2016-17,2016-08-23,Swansea,EFL Cup,Away,Peterborough
2016-17,2016-09-21,Swansea,EFL Cup,Home,Man City
2016-17,2016-09-21,Tottenham,EFL Cup,Home,Gillingham
2016-17,2016-08-23,Watford,EFL Cup,Home,Gillingham
2016-17,2016-08-23,West Brom,EFL Cup,Away,Northampton
2016-17,2016-09-21,West Ham,EFL Cup,Home,Accrington
2016-17,2016-10-26,West Ham,EFL Cup,Home,Chelsea
