Season,Date,Team,Comp,Venue,Opponent
2019-20,2019-09-19,Arsenal,Europa Lg,Away,Eintracht Frankfurt
2019-20,2019-10-03,Arsenal,Europa Lg,Home,Standard Liege
2019-20,2019-10-24,Arsenal,Europa Lg,Home,Vitoria Guimaraes
2019-20,2019-11-06,Arsenal,Europa Lg,Away,Vitoria Guimaraes
2019-20,2019-11-28,Arsenal,Europa Lg,Home,Eintracht Frankfurt
2019-20,2019-12-12,Arsenal,Europa Lg,Away,Standard Liege
2019-20,2020-02-20,Arsenal,Europa Lg,Away,Olympiacos
2019-20,2020-02-27,Arsenal,Europa Lg,Home,Olympiacos
2019-20,2019-09-19,Man United,Europa Lg,Home,Astana
2019-20,2019-10-03,Man United,Europa Lg,Away,AZ Alkmaar
2019-20,2019-10-24,Man United,Europa Lg,Away,Partizan
2019-20,2019-11-07,Man United,Europa Lg,Home,Partizan
2019-20,2019-11-28,Man United,Europa Lg,Away,Astana
2019-20,2019-12-12,Man United,Europa Lg,Home,AZ Alkmaar
2019-20,2020-02-20,Man United,Europa Lg,Away,Club Brugge
2019-20,2020-02-27,Man United,Europa Lg,Home,Club Brugge
2019-20,2020-03-12,Man United,Europa Lg,Away,LASK
2019-20,2020-08-05,Man United,Europa Lg,Home,LASK
2019-20,2020-08-10,Man United,Europa Lg,Away,Copenhagen
2019-20,2020-08-16,Man United,Europa Lg,Away,Sevilla
2019-20,2019-07-25,Wolves,Europa Lg,Home,Crusaders
2019-20,2019-08-01,Wolves,Europa Lg,Away,Crusaders
2019-20,2019-08-08,Wolves,Europa Lg,Away,Pyunik
2019-20,2019-08-15,Wolves,Europa Lg,Home,Pyunik
2019-20,2019-08-22,Wolves,Europa Lg,Away,Torino
2019-20,2019-08-29,Wolves,Europa Lg,Home,Torino
2019-20,2019-09-19,Wolves,Europa Lg,Home,Braga
2019-20,2019-10-03,Wolves,Europa Lg,Away,Besiktas
2019-20,2019-10-24,Wolves,Europa Lg,Away,Slovan Bratislava
2019-20,2019-11-07,Wolves,Europa Lg,Home,Slovan Bratislava
2019-20,2019-11-28,Wolves,Europa Lg,Away,Braga
2019-20,2019-12-12,Wolves,Europa Lg,Home,Besiktas
2019-20,2020-02-20,Wolves,Europa Lg,Home,Espanyol
2019-20,2020-02-27,Wolves,Europa Lg,Away,Espanyol
2019-20,2020-03-12,Wolves,Europa Lg,Away,Olympiacos
2019-20,2020-08-06,Wolves,Europa Lg,Home,Olympiacos
2019-20,2020-08-11,Wolves,Europa Lg,Away,Sevilla
