Season,Date,Team,Comp,Venue,Opponent
2024-25,2024-11-01,Huddersfield,FA Cup,Away,Tamworth
2024-25,2025-01-09,Cardiff,FA Cup,Away,Sheffield United
2024-25,2025-01-09,Everton,FA Cup,Home,Peterborough
2024-25,2025-01-09,Fulham,FA Cup,Home,Watford
2024-25,2025-01-09,Sheffield United,FA Cup,Home,Cardiff
2024-25,2025-01-09,Watford,FA Cup,Away,Fulham
2024-25,2025-01-10,Aston Villa,FA Cup,Home,West Ham
2024-25,2025-01-10,West Ham,FA Cup,Away,Aston Villa
2024-25,2025-01-11,Bournemouth,FA Cup,Home,West Brom
2024-25,2025-01-11,Brentford,FA Cup,Home,Plymouth
2024-25,2025-01-11,Brighton,FA Cup,Away,Norwich
2024-25,2025-01-11,Burnley,FA Cup,Away,Reading
2024-25,2025-01-11,Chelsea,FA Cup,Home,Morecambe
2024-25,2025-01-11,Leeds,FA Cup,Home,Harrogate Town
2024-25,2025-01-11,Leicester,FA Cup,Home,QPR
2024-25,2025-01-11,Liverpool,FA Cup,Home,Accrington ST
2024-25,2025-01-11,Luton,FA Cup,Away,Nott'm Forest
2024-25,2025-01-11,Man City,FA Cup,Home,Salford City
2024-25,2025-01-11,Middlesbrough,FA Cup,Home,Blackburn
2024-25,2025-01-11,Nott'm Forest,FA Cup,Home,Luton
2024-25,2025-01-11,Stoke,FA Cup,Away,Sunderland
2024-25,2025-01-11,Sunderland,FA Cup,Home,Stoke
2024-25,2025-01-11,West Brom,FA Cup,Away,Bournemouth
2024-25,2025-01-11,Wolves,FA Cup,Away,Bristol City
2024-25,2025-01-12,Arsenal,FA Cup,Home,Man United
2024-25,2025-01-12,Crystal Palace,FA Cup,Home,Stockport County
2024-25,2025-01-12,Hull,FA Cup,Home,Doncaster
2024-25,2025-01-12,Ipswich,FA Cup,Home,Bristol Rovers
2024-25,2025-01-12,Man United,FA Cup,Away,Arsenal
2024-25,2025-01-12,Newcastle,FA Cup,Home,Bromley
2024-25,2025-01-12,Southampton,FA Cup,Home,Swansea
2024-25,2025-01-12,Swansea,FA Cup,Away,Southampton
2024-25,2025-01-12,Tottenham,FA Cup,Away,Tamworth
2024-25,2025-02-07,Leicester,FA Cup,Away,Man United
2024-25,2025-02-07,Man United,FA Cup,Home,Leicester
2024-25,2025-02-08,Bournemouth,FA Cup,Away,Everton
2024-25,2025-02-08,Brighton,FA Cup,Home,Chelsea
2024-25,2025-02-08,Burnley,FA Cup,Away,Southampton
2024-25,2025-02-08,Cardiff,FA Cup,Away,Stoke
2024-25,2025-02-08,Chelsea,FA Cup,Away,Brighton
2024-25,2025-02-08,Everton,FA Cup,Home,Bournemouth
2024-25,2025-02-08,Fulham,FA Cup,Away,Wigan
2024-25,2025-02-08,Ipswich,FA Cup,Away,Coventry
2024-25,2025-02-08,Leeds,FA Cup,Home,Millwall
2024-25,2025-02-08,Man City,FA Cup,Away,Leyton Orient
2024-25,2025-02-08,Newcastle,FA Cup,Away,Birmingham
2024-25,2025-02-08,Southampton,FA Cup,Home,Burnley
2024-25,2025-02-08,Stoke,FA Cup,Home,Cardiff
2024-25,2025-02-09,Aston Villa,FA Cup,Home,Tottenham
2024-25,2025-02-09,Liverpool,FA Cup,Away,Plymouth
2024-25,2025-02-09,Tottenham,FA Cup,Away,Aston Villa
2024-25,2025-02-09,Wolves,FA Cup,Away,Blackburn
2024-25,2025-02-10,Crystal Palace,FA Cup,Away,Doncaster
2024-25,2025-02-11,Nott'm Forest,FA Cup,Away,Exeter City
2024-25,2025-02-28,Aston Villa,FA Cup,Home,Cardiff
2024-25,2025-02-28,Cardiff,FA Cup,Away,Aston Villa
2024-25,2025-03-01,Bournemouth,FA Cup,Home,Wolves
2024-25,2025-03-01,Burnley,FA Cup,Away,Preston
2024-25,2025-03-01,Crystal Palace,FA Cup,Home,Millwall
2024-25,2025-03-01,Man City,FA Cup,Home,Plymouth
2024-25,2025-03-01,Wolves,FA Cup,Away,Bournemouth
2024-25,2025-03-02,Brighton,FA Cup,Away,Newcastle
2024-25,2025-03-02,Fulham,FA Cup,Away,Man United
2024-25,2025-03-02,Man United,FA Cup,Home,Fulham
2024-25,2025-03-02,Newcastle,FA Cup,Home,Brighton
2024-25,2025-03-03,Ipswich,FA Cup,Away,Nott'm Forest
2024-25,2025-03-03,Nott'm Forest,FA Cup,Home,Ipswich
2024-25,2025-03-29,Brighton,FA Cup,Home,Nott'm Forest
2024-25,2025-03-29,Crystal Palace,FA Cup,Away,Fulham
2024-25,2025-03-29,Fulham,FA Cup,Home,Crystal Palace
2024-25,2025-03-29,Nott'm Forest,FA Cup,Away,Brighton
2024-25,2025-03-30,Aston Villa,FA Cup,Away,Preston
2024-25,2025-03-30,Bournemouth,FA Cup,Home,Man City
2024-25,2025-03-30,Man City,FA Cup,Away,Bournemouth
2024-25,2025-04-26,Aston Villa,FA Cup,Away,Crystal Palace
2024-25,2025-04-26,Crystal Palace,FA Cup,Home,Aston Villa
2024-25,2025-04-27,Man City,FA Cup,Away,Nott'm Forest
2024-25,2025-04-27,Nott'm Forest,FA Cup,Home,Man City
2024-25,2025-05-17,Crystal Palace,FA Cup,Home,Man City
2024-25,2025-05-17,Man City,FA Cup,Away,Crystal Palace
