fecha,local,visitante,resultado_predicho,prob_modelo,cuota_apertura,cuota_cierre,prob_apertura_fair,prob_cierre_fair,clv,edge_vs_apertura,edge_vs_cierre,resultado_real,acierto,stake,cuota_apostada,pnl,pnl_acumulado,timestamp
2016-08-13 00:00:00,Burnley,Swansea,Visitante,0.5455,3.25,2.89,0.2995,0.3389,0.0394,0.2461,0.2066,2,True,10.0,3.25,22.5,22.5,2026-03-14T00:34:32.959873
2016-08-13 00:00:00,Crystal Palace,West Brom,Local,0.4341,2.0,2.25,0.4877,0.4353,-0.0524,-0.0536,-0.0012,2,False,10.0,2.0,-10.0,12.5,2026-03-14T00:34:32.964850
2016-08-13 00:00:00,Everton,Tottenham,Empate,0.6512,3.4,3.54,0.2874,0.2769,-0.0105,0.3638,0.3743,1,True,10.0,3.4,24.0,36.5,2026-03-14T00:34:32.967308
2016-08-13 00:00:00,Hull,Leicester,Visitante,0.3808,1.91,1.92,0.5115,0.5105,-0.001,-0.1307,-0.1297,0,False,10.0,1.91,-10.0,26.5,2026-03-14T00:34:32.969707
2016-08-13 00:00:00,Man City,Sunderland,Local,0.7604,1.25,1.25,0.7839,0.7822,-0.0018,-0.0235,-0.0218,0,True,10.0,1.25,2.5,29.0,2026-03-14T00:34:32.972238
2016-08-13 00:00:00,Middlesbrough,Stoke,Empate,0.6839,3.2,3.38,0.3043,0.2899,-0.0145,0.3795,0.394,1,True,10.0,3.2,22.0,51.0,2026-03-14T00:34:32.974879
2016-08-13 00:00:00,Southampton,Watford,Local,0.4009,1.8,1.8,0.5435,0.5445,0.001,-0.1426,-0.1436,1,False,10.0,1.8,-10.0,41.0,2026-03-14T00:34:32.977039
2016-08-14 00:00:00,Arsenal,Liverpool,Visitante,0.5043,3.1,2.68,0.3147,0.3655,0.0507,0.1896,0.1388,2,True,10.0,3.1,21.0,62.0,2026-03-14T00:34:32.980105
2016-08-14 00:00:00,Bournemouth,Man United,Visitante,0.6342,1.85,1.78,0.5254,0.5503,0.0249,0.1088,0.0839,2,True,10.0,1.85,8.5,70.5,2026-03-14T00:34:32.983289
2016-08-15 00:00:00,Chelsea,West Ham,Local,0.5633,1.65,1.52,0.5926,0.6447,0.0521,-0.0293,-0.0815,0,True,10.0,1.65,6.5,77.0,2026-03-14T00:34:32.986235
