Feature,Importancia,Porcentaje,Porcentaje_Acumulado,Modelo
Pinnacle_Open_A,0.056499924310197826,5.649992431019783,5.649992431019783,1X2 Principal
AH_Edge_Home,0.054964759706139905,5.49647597061399,11.146468401633772,1X2 Principal
Pinnacle_Open_H,0.05274434525247898,5.274434525247898,16.42090292688167,1X2 Principal
Home_Advantage_Prob,0.05185081200673793,5.185081200673793,21.605984127555462,1X2 Principal
Prob_A,0.04389292533291228,4.389292533291228,25.99527666084669,1X2 Principal
B365H,0.03813079049576306,3.813079049576306,29.808355710422997,1X2 Principal
B365A,0.037628842083534,3.7628842083534,33.5712399187764,1X2 Principal
AT_xGA_Global,0.03759716590772726,3.7597165907727264,37.330956509549125,1X2 Principal
Elo_Diff,0.03696965407371294,3.6969654073712945,41.02792191692042,1X2 Principal
Elo_WinProb_H,0.035359628451220225,3.5359628451220226,44.56388476204244,1X2 Principal
AT_xGA_EWM5,0.0348693127873718,3.48693127873718,48.05081604077962,1X2 Principal
AT_Pts_EWM5,0.033559396475173246,3.3559396475173244,51.40675568829695,1X2 Principal
Prob_H,0.03337386729358296,3.337386729358296,54.74414241765524,1X2 Principal
HT_Elo,0.032451632695367966,3.2451632695367967,57.98930568719204,1X2 Principal
Pinnacle_Conf,0.03127449769007512,3.1274497690075123,61.11675545619955,1X2 Principal
AT_Elo,0.02983601553301381,2.983601553301381,64.10035700950093,1X2 Principal
Ref_Away_Yellow,0.029185228340326174,2.9185228340326175,67.01887984353354,1X2 Principal
AT_GoalsFor_EWM5,0.028820006132502973,2.8820006132502973,69.90088045678384,1X2 Principal
HT_GoalsFor_EWM5,0.027652508388027842,2.765250838802784,72.66613129558662,1X2 Principal
AT_xG_EWM5,0.02761794281219544,2.7617942812195437,75.42792557680616,1X2 Principal
Prob_Spread,0.026313478058172624,2.6313478058172626,78.05927338262342,1X2 Principal
AT_ShotsTarget_EWM5,0.026082613009792296,2.6082613009792297,80.66753468360264,1X2 Principal
Position_Diff_Weighted,0.02198714698875948,2.198714698875948,82.86624938247859,1X2 Principal
B365D,0.020757558411006814,2.0757558411006816,84.94200522357927,1X2 Principal
Prob_D,0.020435009650078117,2.0435009650078118,86.98550618858708,1X2 Principal
HT_Position,0.01919630278740986,1.9196302787409862,88.90513646732806,1X2 Principal
AT_GoalsAgainst5,0.01874269000297737,1.8742690002977371,90.7794054676258,1X2 Principal
HT_HomeWinRate5,0.017100974392559656,1.7100974392559656,92.48950290688177,1X2 Principal
Market_Confidence,0.0169463776450428,1.6946377645042798,94.18414067138605,1X2 Principal
H2H_Total_Goals_Avg,0.01460245337222541,1.460245337222541,95.64438600860859,1X2 Principal
H2H_Home_Goals_Avg,0.013557194067456995,1.3557194067456995,97.0001054153543,1X2 Principal
