Feature,Importancia
Pinnacle_Sharp_H,0.07828384
Pinnacle_Sharp_A,0.06796553
Prob_A,0.062598795
AH_Edge_Home,0.04845121
Pinnacle_Conf,0.026887769
Prob_Spread,0.023124244
Match_Type,0.018252267
HT_HomeWinRate5,0.017569138
Position_Reliability,0.016257145
Position_Diff_Weighted,0.0156024
Position_Diff,0.015554014
Ref_Away_Yellow,0.015364711
AH_Line_Move,0.015364419
Pinnacle_Move_H,0.015324259
xG_Diff,0.015239992
AH_Market_Conf,0.014984406
Season_Progress,0.014941065
H2H_Total_Goals_Avg,0.014889008
Prob_Move_A,0.014707752
HT_AvgGoals,0.014603985
AH_Implied_Home,0.014560513
Prob_Move_D,0.014491326
HT_Pressure,0.014408567
HT_Points,0.014403808
AH_Close_Move_H,0.014320337
HT_HomeGoals5,0.014309647
PS_vs_Avg_H,0.014288511
HT_xG_Avg,0.014249632
Pinnacle_Move_D,0.014130373
Momentum_Diff,0.014101774
H2H_Away_Goals_Avg,0.014055975
Pinnacle_Move_A,0.013809918
AT_Position,0.013730938
H2H_BTTS_Rate,0.01371631
HT_Form_W,0.013714258
AT_xG_Avg,0.01364333
Prob_Move_H,0.013626907
AT_Points,0.013449943
HT_AvgShotsTarget,0.013397583
HT_Goals_Diff,0.013387534
HT_GoalsFor5,0.013370842
AT_Form_W,0.013283178
AT_AvgGoals,0.013280046
xG_Total,0.013276323
Ref_Home_WinRate,0.0131588355
Ref_Yellow_Avg,0.013114857
AT_xGA_Avg,0.0131043
HT_Streak,0.013088984
AT_AvgShotsTarget,0.013004084
H2H_Home_Win_Rate,0.012987743
H2H_Matches,0.012940247
AT_GoalsFor5,0.012937508
Ref_Goals_Avg,0.012772656
AHCh,0.012261641
AHh,0.011655686
