Feature,Importancia_RF,Rank_RF,MI_Score,Rank_MI,Correlacion,Rank_Corr,Rank_Promedio
ProbC_H,0.0336879597758912,1,0.10989097390817504,2,0.45735967676456274,1,1.3333333333333333
ProbC_A,0.02947190937898355,2,0.09317209692230155,6,0.4540310913469865,2,3.3333333333333335
Prob_H,0.026799080760897463,3,0.10575179465495443,3,0.4473806248386202,4,3.3333333333333335
Prob_Diff_HA,0.024445453115051155,6,0.11187153352942647,1,0.449968851268166,3,3.3333333333333335
Prob_A,0.026114563020085288,4,0.09660082959051364,5,0.4456236053344163,5,4.666666666666667
Prob_Ratio_HA,0.02285350756124771,10,0.10567656631669298,4,0.3504598552858447,7,7.0
xG_Ratio,0.022875990915647054,8,0.052455906583732004,13,0.2849681593248765,13,11.333333333333334
GD_Diff,0.02065489770256045,19,0.06894906234283282,7,0.3446120799926397,9,11.666666666666666
xG_Diff,0.020900289277027678,17,0.06025209050196123,10,0.3104573444266213,11,12.666666666666666
PPG_Diff,0.01983284621384923,20,0.06440897241942212,8,0.3413926922871717,10,12.666666666666666
AT_xG_Net,0.02094509271304166,16,0.04387936453667485,15,0.25236755422220075,16,15.666666666666666
AT_PPG,0.022105070533408013,13,0.04135229223486325,17,0.23220474425479445,21,17.0
HT_GD,0.01806509614438562,24,0.058281641103049564,11,0.23865787095082802,19,18.0
Position_Diff,0.01771362653572667,26,0.038978000065582386,20,0.34998479297967205,8,18.0
Form_GD_Diff,0.01641281014409548,32,0.0569112086395811,12,0.30832086035562517,12,18.666666666666668
HT_xG_Net,0.021713035729059055,14,0.03812723206763291,23,0.2337120256457857,20,19.0
AT_GD,0.018315089747605057,22,0.02882864298716359,29,0.25479868450301923,15,22.0
HT_PPG,0.01810547256977016,23,0.03553324705498517,25,0.22907688110915658,22,23.333333333333332
HT_AvgShotsTarget,0.016939583217062695,31,0.04722567896920693,14,0.21537655795495683,25,23.333333333333332
HT_xG_Avg,0.01901034361958586,21,0.029731197382379726,28,0.22244920931541826,23,24.0
Favorito,0.004872034902412663,65,0.06139615170648627,9,0.3827041845986278,6,26.666666666666668
Prob_D,0.022740672401304316,11,0.034907198867786704,26,0.15431662571391433,45,27.333333333333332
Form_Pts_Diff,0.014200482418807628,36,0.023301109688342203,32,0.2796911271890177,14,27.333333333333332
HT_AvgGoals,0.01295326025694397,41,0.04157034736582865,16,0.20111381964580413,31,29.333333333333332
AT_Position,0.013198245593820879,38,0.01993279345315191,38,0.24343251228380147,18,31.333333333333332
HT_Form_Pts,0.0121132995818947,44,0.030357772001007755,27,0.21541082170231338,24,31.666666666666668
AT_xG_Avg,0.017493133455379062,27,0.019594527380608406,39,0.2110017356712932,29,31.666666666666668
Prob_Spread,0.017285648684233948,29,0.03667005128395728,24,0.14743642471153962,50,34.333333333333336
ProbC_D,0.023370623369832488,7,0.00810134529185369,54,0.15815136603507998,43,34.666666666666664
Prob_Move_D,0.025157412076500997,5,0.020789001089595693,37,0.02246805801151115,62,34.666666666666664
AT_AvgShotsTarget,0.01797616924940454,25,0.015253442415993579,45,0.18127775390968504,36,35.333333333333336
