feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos,rank,drop_recommended
Ref_Aggressiveness_Interaction,0.08809581,0.0036834432775911365,0.0018058340725587779,8.809582,31.769033843543976,1,False
HT_YellowAvg5,0.053792797,0.0018272220318192756,0.00061647432019573,5.37928,15.7594604270649,2,False
H2H_Yellow_Avg,0.06084678,0.0016439771447183892,0.0010345677753689705,6.084678,14.179006329839993,3,False
Rest_Diff,0.06358224,0.0011149596112282056,0.001168871636205573,6.358225,9.616325528557592,4,False
AT_Form_L,0.055615604,0.0009876668255204169,0.0005776454156700476,5.5615606,8.51844821311421,5,False
Ref_Cards_Total_Avg,0.05139413,0.0007346673600667653,0.0005317968454262019,5.1394134,6.336373460044601,6,False
HT_YellowFor5,0.0557792,0.0005480684521152912,0.000793653957130141,5.5779204,4.726991537987284,7,False
AT_Days_Rest,0.051685616,0.0004897833911490012,0.0002460655627331964,5.168562,4.224293400710137,8,False
HT_Form_D,0.05149588,0.00015430144889843066,0.0005077482659219958,5.1495886,1.3308221635946798,9,False
HT_Form_L,0.052071463,0.00015425102277244473,0.00021462281521391802,5.2071466,1.3303872473540004,10,False
Ref_Yellow_Avg,0.07618953,0.00014091166072180972,0.0010812066363465793,7.618954,1.215337655843785,11,False
AT_RedRate5,0.04519456,9.72807591150593e-05,0.00015678026435500588,4.5194564,0.839028999700811,12,False
AT_YellowAvg5,0.055203125,1.7912396952146636e-05,0.000917047588731603,5.520313,0.15449119264404382,13,False
AT_Form_D,0.052114893,-5.092644936213198e-05,0.0002941405153018394,5.2114897,0.0,14,False
HT_Days_Rest,0.056590103,-0.00030591181503210053,0.0008066472072348925,5.6590104,0.0,15,False
AT_Form_W,0.06560742,-0.00036726895094120194,0.0008158464025149715,6.560743,0.0,16,False
HT_RedRate5,0.06474079,-0.0008784014691895492,0.00048442453531688805,6.47408,0.0,17,True
